PLAYER,POS,LANE AGILITY TIME,SHUTTLE RUN,THREE QUARTER SPRINT,STANDING VERTICAL LEAP,MAX VERTICAL LEAP,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,YEAR
Xavier Henry,SG,11.1,DNE,3.18,28.5,36.5,4.70%,8.75,10,6' 5.25'',6' 6.5'',8' 9'',210.2,6' 11.25'',2010
A.J. Price,PG,10.99,DNE,3.22,26,31,12.40%,DNE,DNE,6' 0.5'',6' 2'',8' 1'',192.8,6' 3.75'',2009
Austin Daye,SF-PF,12.11,DNE,3.55,25,28,5.50%,DNE,DNE,6' 9.75'',6' 10.75'',9' 2'',191.8,7' 2.75'',2009
Blake Griffin,PF,10.95,DNE,3.28,32,35.5,8.20%,DNE,DNE,6' 8.5'',6' 10'',8' 9'',248.4,6' 11.25'',2009
Byron Mullens,C,11.1,DNE,3.45,28.5,32.5,8.50%,DNE,DNE,6' 11.75'',7' 1.25'',9' 3'',258.2,7' 1.5'',2009
Chase Budinger,SF-SG,11.08,DNE,3.24,29.5,38.5,10.00%,DNE,DNE,6' 6.25'',6' 7'',8' 5'',206.4,6' 7'',2009
DaJuan Summers,SF,10.94,DNE,3.17,29.5,34.5,6.60%,DNE,DNE,6' 7.25'',6' 8.5'',8' 10.5'',243,7' 0.75'',2009
Danny Green,SG-SF,11.3,DNE,3.3,29,33,5.60%,DNE,DNE,6' 5.25'',6' 6.5'',8' 7'',208,6' 10'',2009
Dante Cunningham,PF,11.18,DNE,3.26,28,35,4.80%,DNE,DNE,6' 7'',6' 8.25'',8' 10.5'',227.4,6' 11'',2009
Darren Collison,PG,10.45,DNE,3.1,30.5,33.5,5.70%,DNE,DNE,6' 0.25'',6' 1.5'',8' 0.5'',166.2,6' 3'',2009
DeJuan Blair,PF,11.5,DNE,3.45,26,33,12.00%,DNE,DNE,6' 5.25'',6' 6.5'',8' 10.5'',276.6,7' 2'',2009
DeMar DeRozan,SG-SF,11.88,DNE,3.31,29,38.5,4.90%,DNE,DNE,6' 5.5'',6' 6.5'',8' 6.5'',211.2,6' 9'',2009
DeMarre Carroll,PF-SF,-,DNE,-,-,-,6.30%,DNE,DNE,6' 6.25'',6' 7.75'',8' 9'',207.2,6' 10'',2009
Derrick Brown,SF-PF,11.26,DNE,3.13,30.5,35.5,8.60%,DNE,DNE,6' 7.5'',6' 8.5'',8' 11.5'',224.6,7' 2.5'',2009
Dionte Christmas,SG,10.83,DNE,3.21,27,33.5,7.10%,DNE,DNE,6' 4.25'',6' 5.5'',8' 6.5'',210.8,6' 9'',2009
Earl Clark,SF-PF,11.17,DNE,3.35,28.5,33,5.20%,DNE,DNE,6' 8.5'',6' 10.25'',9' 1.5'',228.4,7' 2.5'',2009
Eric Maynor,PG,10.78,DNE,3.19,28.5,31.5,5.40%,DNE,DNE,6' 2.25'',6' 3.25'',8' 1'',163.6,6' 2.5'',2009
Gerald Henderson,SG-SF,11.17,DNE,3.14,31.5,35,4.40%,DNE,DNE,6' 4'',6' 5'',8' 6.5'',214.6,6' 10.25'',2009
Hasheem Thabeet,C,-,DNE,-,-,-,6.70%,DNE,DNE,7' 1.25'',7' 2.5'',9' 5'',267.2,7' 6.25'',2009
Jack McClinton,SG-PG,10.44,DNE,3.21,30,36.5,6.20%,DNE,DNE,5' 11.75'',6' 0.75'',8' 0'',185.2,6' 2.5'',2009
James Harden,SG,11.1,DNE,3.13,31.5,37,10.10%,DNE,DNE,6' 4'',6' 5.25'',8' 7.5'',222,6' 10.75'',2009
James Johnson,SF-PF,11.21,DNE,3.23,30.5,35,12.00%,DNE,DNE,6' 7'',6' 7.75'',8' 9.5'',257.2,7' 0.75'',2009
Jeff Adrien,PF,11.34,DNE,3.32,27.5,31.5,7.90%,DNE,DNE,6' 5.25'',6' 6.5'',8' 11.5'',236.2,7' 2'',2009
Jeff Ayres,PF,11.98,DNE,3.14,31,35,5.50%,DNE,DNE,6' 8.75'',6' 10'',8' 11'',239.6,7' 1'',2009
Jeff Teague,PG,11.05,DNE,3.18,30.5,36.5,4.50%,DNE,DNE,6' 0.25'',6' 1.5'',8' 2.5'',175.2,6' 7.5'',2009
Jerel McNeal,SG,10.61,DNE,3.25,31.5,36.5,5.40%,DNE,DNE,6' 1.5'',6' 3'',8' 3.5'',190.4,6' 7.25'',2009
Jermaine Taylor,SG,11.54,DNE,3.32,34,37.5,5.80%,DNE,DNE,6' 3.5'',6' 4.75'',8' 5'',207.4,6' 8.75'',2009
Jodie Meeks,SG,10.96,DNE,3.1,28.5,37,8.00%,DNE,DNE,6' 3'',6' 4'',8' 2'',211.4,6' 4.5'',2009
Joe Ingles,SF,10.66,DNE,3.3,26,31,10.10%,DNE,DNE,6' 7.75'',6' 8.25'',8' 9'',209.2,6' 10.25'',2009
Jonny Flynn,PG,10.86,DNE,3.23,33,40,6.30%,DNE,DNE,5' 11.25'',6' 0.75'',7' 11.5'',195.6,6' 4'',2009
Jordan Hill,PF-C,12.23,DNE,3.3,31,35,6.00%,DNE,DNE,6' 9.25'',6' 10.25'',9' 0'',232.4,7' 1.5'',2009
Josh Heytvelt,PF-C,11.67,DNE,3.38,28.5,34,10.80%,DNE,DNE,6' 10'',6' 11'',9' 0'',246.2,7' 1.25'',2009
Jrue Holiday,PG-SG,10.64,DNE,3.21,28.5,34,6.30%,DNE,DNE,6' 3.25'',6' 4.25'',8' 4.5'',199,6' 7'',2009
Marcus Thornton,SG,10.73,DNE,3.28,31,33,4.80%,DNE,DNE,6' 2.75'',6' 3.75'',8' 3'',194.4,6' 5'',2009
Omri Casspi,SF,11.15,DNE,3.28,25.5,32.5,8.60%,DNE,DNE,6' 7.75'',6' 9.25'',8' 10.5'',211.2,6' 9.25'',2009
Patty Mills,PG,10.87,DNE,3.1,27.5,33,6.90%,DNE,DNE,5' 11.25'',6' 0.5'',7' 11'',175.4,6' 2'',2009
Rodrigue Beaubois,PG,10.49,DNE,3.15,29.5,39,7.90%,DNE,DNE,6' 1.25'',6' 2.25'',8' 4'',182.4,6' 9.75'',2009
Sam Young,SF-SG,11.47,DNE,3.45,27.5,33,4.90%,DNE,DNE,6' 5.25'',6' 6.75'',8' 9.5'',222.8,6' 10.75'',2009
Stephen Curry,PG-SG,11.07,DNE,3.28,29.5,35.5,5.70%,DNE,DNE,6' 2'',6' 3.25'',8' 1'',181,6' 3.5'',2009
Taj Gibson,PF,11.56,DNE,3.41,25.5,30,6.60%,DNE,DNE,6' 8.5'',6' 9.75'',9' 1'',214.4,7' 4'',2009
Terrence Williams,SG-SF,11.15,DNE,3.18,30.5,37,5.10%,DNE,DNE,6' 5'',6' 6.25'',8' 7.5'',213.2,6' 9'',2009
Toney Douglas,PG,10.63,DNE,3.03,28,32.5,5.20%,DNE,DNE,6' 1'',6' 2'',8' 1.5'',183.4,6' 6'',2009
Ty Lawson,PG,10.98,DNE,3.12,29,36.5,6.60%,DNE,DNE,5' 11.25'',6' 0.5'',7' 10.5'',196.6,6' 0.75'',2009
Tyler Hansbrough,PF,11.12,DNE,3.27,27.5,34,8.50%,DNE,DNE,6' 8.25'',6' 9.5'',8' 10'',234.2,6' 11.5'',2009
Tyler Smith,SF,10.69,DNE,3.24,29,33.5,7.00%,DNE,DNE,6' 5.25'',6' 6'',8' 8.5'',212,6' 9.75'',2009
Tyreke Evans,PG-SG,11.81,DNE,3.17,28.5,34,7.10%,DNE,DNE,6' 4'',6' 5.25'',8' 8'',220.6,6' 11.25'',2009
Wayne Ellington,SG,11.14,DNE,3.2,31.5,38,5.50%,DNE,DNE,6' 4.25'',6' 5.25'',8' 4'',202.4,6' 6.5',2009
Aleks Maric,C,11.76,DNE,3.35,23,28,10.10%,DNE,DNE,6' 9.75'',6' 10.75'',9' 1.5'',273,7' 1'',2008
Anthony Randolph,PF-SF,11.86,DNE,3.26,29,35,4.70%,DNE,DNE,6' 9'',6' 10.25'',9' 1'',197,7' 3'',2008
Brian Butch,C-PF,11.87,DNE,3.52,24,26.5,10.80%,DNE,DNE,6' 9.5'',6' 11'',9' 0'',229.6,6' 11.25'',2008
Brian Roberts,PG,10.65,DNE,3.05,31.5,36.5,3.60%,DNE,DNE,6' 0.25'',6' 1.25'',7' 11'',173,6' 1.25'',2008
Brook Lopez,C,12.77,DNE,3.57,27.5,30.5,6.30%,DNE,DNE,6' 11.25'',7' 0.5'',9' 5'',258,7' 5.5'',2008
Bryce Taylor,SG,11.08,DNE,3.19,34.5,41,8.30%,DNE,DNE,6' 2.75'',6' 4.25'',8' 3.5'',210,6' 9'',2008
Charles Rhodes,PF,11.51,DNE,3.13,26.5,33.5,10.70%,DNE,DNE,6' 7.25'',6' 8.25'',8' 11.5'',244,6' 11.25'',2008
Chris Daniels,C-PF,12.72,DNE,3.56,26,28.5,16.10%,DNE,DNE,6' 8.25'',6' 9.5'',9' 1'',256,7' 0.5'',2008
D.J. Augustin,PG,11.27,DNE,3.07,28.5,35,8.10%,DNE,DNE,5' 10'',5' 11.5'',7' 10.5'',171.5,6' 3.5'',2008
Darnell Jackson,PF,11.75,DNE,3.26,27,31,12.50%,DNE,DNE,6' 7'',6' 7.75'',8' 10.5'',240.5,6' 11.25'',2008
Darrell Arthur,PF,12.18,DNE,3.14,28.5,30,7.30%,DNE,DNE,6' 7.5'',6' 8.5'',8' 11'',216,6' 10.75'',2008
David Padgett,C-PF,12.45,DNE,3.45,24,28,9.00%,DNE,DNE,6' 10.25'',6' 11.5'',9' 1.5'',239.5,7' 1'',2008
Davon Jefferson,SF,12.02,DNE,3.36,27,32,12.00%,DNE,DNE,6' 5.25'',6' 6.5'',8' 9'',213,6' 9.5'',2008
DeAndre Jordan,C,12.3,DNE,3.27,26,30.5,7.50%,DNE,DNE,6' 9.75'',6' 11'',9' 5.5'',250,7' 6'',2008
DeMarcus Nelson,PG-SG,10.54,DNE,3.13,34.5,38.5,4.50%,DNE,DNE,6' 1'',6' 2.25'',8' 2.5'',198,6' 10'',2008
DeVon Hardin,C-PF,11.49,DNE,3.33,29.5,32,5.80%,DNE,DNE,6' 9.5'',6' 10.75'',9' 1.5'',235,7' 3'',2008
Deron Washington,SF,11.03,DNE,3.09,34,40,7.20%,DNE,DNE,6' 5.25'',6' 6.25'',8' 6.5'',198.5,6' 9'',2008
Derrick Rose,PG,11.69,DNE,3.05,34.5,40,4.60%,DNE,DNE,6' 1.5'',6' 2.5'',8' 2.5'',196,6' 8'',2008
Donte Greene,SF-PF,11.21,DNE,3.2,27.5,31.5,7.60%,DNE,DNE,6' 8.25'',6' 9'',9' 0'',221,6' 10'',2008
Drew Neitzel,PG,11.19,DNE,3.2,25.5,32,6.20%,DNE,DNE,5' 11.75'',6' 0.75'',7' 11'',175.5,6' 2.5'',2008
Eric Gordon,SG,10.81,DNE,3.01,32,40,8.20%,DNE,DNE,6' 2'',6' 3.25'',8' 3'',222,6' 9'',2008
Frank Elegar,PF,11.86,DNE,3.17,33.5,37.5,4.50%,DNE,DNE,6' 7.25'',6' 8.75'',8' 10'',210,7' 3.25'',2008
Gary Forbes,SG,11.45,DNE,3.25,27.5,33.5,6.50%,DNE,DNE,6' 4.5'',6' 5.75'',8' 8.5'',220.5,6' 11.25'',2008
George Hill,PG,12.2,DNE,3.07,34,37.5,3.00%,DNE,DNE,6' 1.25'',6' 2.5'',8' 1.5'',181,6' 9'',2008
J.R. Giddens,SG,-,DNE,-,-,-,5.40%,DNE,DNE,6' 4'',6' 4.75'',8' 7'',208,6' 11.25'',2008
JaVale McGee,C-PF,12.75,DNE,3.25,27,32.5,5.30%,DNE,DNE,6' 11'',7' 0'',9' 6.5'',241,7' 6'',2008
Jamar Butler,PG,-,DNE,-,-,-,6.00%,DNE,DNE,6' 0.25'',6' 1.5'',8' 1'',182,6' 4.75'',2008
James Gist,PF,11.37,DNE,3.14,30.5,35,4.80%,DNE,DNE,6' 7'',6' 8.5'',8' 11.5'',220,7' 4'',2008
James Mays,PF,11.23,DNE,3.19,29.5,35,8.80%,DNE,DNE,6' 6.75'',6' 7.75'',8' 9'',227,7' 1.75'',2008
Jeremy Pargo,PG,10.65,DNE,3.07,32,37,7.60%,DNE,DNE,6' 0.5'',6' 1.5'',8' 0'',208,6' 5'',2008
Jerryd Bayless,PG-SG,11.26,DNE,3.07,31,38,4.70%,DNE,DNE,6' 1.75'',6' 3'',8' 1'',204,6' 3.5'',2008
Jiri Hubalek,C-PF,12.26,DNE,3.54,20.5,26,8.80%,DNE,DNE,6' 9.5'',6' 11'',9' 1'',226,6' 10.75'',2008
Joe Alexander,SF-PF,11.33,DNE,2.99,32.5,38.5,5.80%,DNE,DNE,6' 7.25'',6' 8.25'',8' 10'',220,6' 11.5'',2008
Joe Crawford,SG,11.67,DNE,3.22,31,36,7.60%,DNE,DNE,6' 3'',6' 4'',8' 3.5'',213,6' 5.75'',2008
Joey Dorsey,PF-C,11.84,DNE,3.2,27.5,33,9.00%,DNE,DNE,6' 6.25'',6' 7.25'',8' 11'',265,7' 1.75'',2008
John Riek,C,-,DNE,-,-,-,11.00%,DNE,DNE,6' 10.5'',7' 0'',,237,7' 8.75'',2008
Joseph Jones,PF,11.61,DNE,3.33,25.5,31,12.20%,DNE,DNE,6' 7'',6' 8.5'',8' 11'',240,7' 0.25'',2008
Josh Duncan,PF,12.47,DNE,3.26,28,32,5.40%,DNE,DNE,6' 8'',6' 9'',8' 8.5'',230,6' 11.5'',2008
Keith Brumbaugh,SF-PF,11.65,DNE,3.28,26,27,4.00%,DNE,DNE,6' 7.5'',6' 8.75'',8' 8.5'',190,6' 7.25'',2008
Kentrell Gransberry,C,12.16,DNE,3.32,24.5,27.5,17.40%,DNE,DNE,6' 6.75'',6' 7.75'',8' 10'',290,6' 10.25'',2008
Kevin Love,PF,11.17,DNE,3.22,29.5,35,12.90%,DNE,DNE,6' 7.75'',6' 9.5'',8' 10'',255,6' 11.25'',2008
Kyle Hines,SF-PF,12.17,DNE,3.4,28.5,33,3.60%,DNE,DNE,6' 3.75'',6' 5.25'',8' 8.5'',234,7' 1.25'',2008
Lester Hudson,PG,11.15,DNE,3.16,30.5,36,3.40%,DNE,DNE,5' 11.75'',6' 1'',8' 2.5'',196,6' 8.75'',2008
Longar Longar,C,-,DNE,-,-,-,10.60%,DNE,DNE,6' 9'',6' 10'',9' 1.5'',212.5,7' 1.25'',2008
Luc Mbah a Moute,SF,11.71,DNE,3.17,32,38.5,7.00%,DNE,DNE,6' 5.75'',6' 7.5'',8' 7.5'',221,7' 2.5'',2008
Maarty Leunen,SF,11.57,DNE,3.36,29.5,34.5,8.90%,DNE,DNE,6' 7.25'',6' 8.5'',8' 6.5'',222,6' 8'',2008
Malik Hairston,SG,11.33,DNE,3.08,30.5,38,6.90%,DNE,DNE,6' 4.25'',6' 5.25'',8' 7.5'',204,6' 9'',2008
Marcelus Kemp,SG,11.79,DNE,3.39,26,30,9.00%,DNE,DNE,6' 3'',6' 4.25'',8' 7.5'',221,6' 8.5'',2008
Marcus Dove,SF-PF,11.59,DNE,3.26,27.5,33.5,5.30%,DNE,DNE,6' 6.75'',6' 7.5'',8' 9'',208,6' 11.5'',2008
Mark Tyndale,SG-SF,12.52,DNE,3.14,27,33.5,6.70%,DNE,DNE,6' 2.75'',6' 3.5'',8' 7.5'',217,6' 11'',2008
Michael Beasley,PF-SF,11.06,DNE,3.24,30,35,7.70%,DNE,DNE,6' 7'',6' 8.25'',8' 11'',239,7' 0.25'',2008
Mike Taylor,SG-PG,10.98,DNE,3.08,31,39,3.80%,DNE,DNE,6' 0.75'',6' 2'',8' 2'',166.2,6' 7.25'',2008
O.J. Mayo,SG-PG,11.04,DNE,3.14,30.5,41,6.30%,DNE,DNE,6' 3.25'',6' 4.25'',8' 3.5'',200,6' 6'',2008
Othello Hunter,PF-SF,11.51,DNE,3.18,28,34.5,6.40%,DNE,DNE,6' 6.5'',6' 7.5'',9' 1.5'',220,7' 3'',2008
Pat Calathes,SF-PF,-,DNE,-,-,-,7.30%,DNE,DNE,6' 8.75'',6' 9.75'',8' 10'',204,6' 9.75'',2008
Patrick Ewing Jr.,SF-PF,11.77,DNE,3.43,35,42,9.40%,DNE,DNE,6' 6'',6' 7.25'',8' 1.5'',224,7' 0.25'',2008
Quan Prowell,SF-PF,11.79,DNE,3.14,32,36,6.50%,DNE,DNE,6' 6.75'',6' 7.75'',8' 7.5'',225.5,6' 10.5'',2008
Ramel Bradley,PG-SG,10.68,DNE,3.24,24.5,29.5,5.70%,DNE,DNE,6' 1.25'',6' 2.25'',8' 2'',184,6' 5'',2008
Reggie Williams,SG,11.32,DNE,3.07,31.5,36.5,5.30%,DNE,DNE,6' 3.25'',6' 4'',8' 7'',199,6' 9.25'',2008
Richard Hendrix,PF,10.62,DNE,3.27,26.5,28,9.20%,DNE,DNE,6' 6.75'',6' 8.75'',9' 0'',250,7' 3'',2008
Richard Roby,SG-SF,-,DNE,-,-,-,9.20%,DNE,DNE,6' 4.25'',6' 5.5'',8' 8'',203,6' 9.75'',2008
Robert Vaden,SG,11.97,DNE,3.4,26,29.5,6.20%,DNE,DNE,6' 3.5'',6' 4.5'',8' 5'',199,6' 8'',2008
Ronald Steele,PG,11.08,DNE,3.26,25,29.5,8.10%,DNE,DNE,6' 0.25'',6' 1.5'',8' 1.5'',183.5,6' 4.25'',2008
Russell Robinson,PG,11.3,DNE,3.15,25,31.5,7.40%,DNE,DNE,6' 0.5'',6' 1.5'',8' 4.5'',196,6' 8'',2008
Russell Westbrook,PG,10.98,DNE,3.08,30,36.5,4.80%,DNE,DNE,6' 2.25'',6' 3.5'',8' 4'',192,6' 7.75'',2008
Sasha Kaun,C-PF,12.06,DNE,3.2,29,32,9.60%,DNE,DNE,6' 9'',6' 10.75'',9' 2'',247,7' 4'',2008
Sean Singletary,PG,-,DNE,-,26,-,4.20%,DNE,DNE,5' 11'',6' 0'',7' 11'',183.8,6' 4.5'',2008
Shan Foster,SG,12.3,DNE,3.24,30,33,6.30%,DNE,DNE,6' 4'',6' 5.25'',8' 7.5'',194.5,6' 11.5'',2008
Shaun Pruitt,C-PF,11.3,DNE,3.4,27,32.5,13.80%,DNE,DNE,6' 8.25'',6' 9'',8' 11.5'',242.2,7' 1'',2008
Shawn James,PF,-,DNE,-,-,-,9.20%,DNE,DNE,6' 7.75'',6' 9'',9' 3'',217,7' 5'',2008
Sonny Weems,SG-SF,10.58,DNE,2.96,29,36.5,4.40%,DNE,DNE,6' 4'',6' 5.5'',8' 8'',193,6' 10'',2008
Stanley Burrell,PG,11.19,DNE,3.19,29.5,34.5,5.60%,DNE,DNE,6' 1.5'',6' 2.5'',8' 1.5'',201,6' 6.25'',2008
Takais Brown,PF,12.47,DNE,3.25,29,31,9.20%,DNE,DNE,6' 7.25'',6' 8.5'',8' 10'',252,6' 10'',2008
Trent Plaisted,PF,11.32,DNE,3.17,30.5,35.5,11.00%,DNE,DNE,6' 9.25'',6' 10.25'',8' 9.5'',240,6' 10.5'',2008
Tyrone Brazelton,PG,11.59,DNE,3.25,30,34,8.10%,DNE,DNE,5' 10'',5' 11'',7' 10'',166,6' 1.75'',2008
Vladimir Golubovic,C,12.4,DNE,3.33,21.5,27,6.90%,DNE,DNE,6' 11.25'',7' 0.25'',9' 3.5'',258,7' 2.5'',2008
Aaron Brooks,PG,10.57,DNE,3.2,32.5,39.5,2.70%,DNE,DNE,5' 10'',5' 11.75'',7' 10'',161,6' 4'',2007
Aaron Gray,C,12.07,DNE,3.7,27,32.5,10.80%,DNE,DNE,7' 0'',7' 1.75'',9' 0.5'',271,7' 3.25'',2007
Acie Law,PG,11,DNE,3.22,29,34,5.60%,DNE,DNE,6' 2'',6' 3.5'',8' 2'',186,6' 6.5'',2007
Al Horford,PF,12.15,DNE,3.37,31,35.5,9.10%,DNE,DNE,6' 8'',6' 9.75'',8' 11'',246,7' 0.75'',2007
Al Thornton,SF,11.96,DNE,3.16,35,41,5.80%,DNE,DNE,6' 5.75'',6' 7'',8' 8'',221,7' 1'',2007
Ali Traore,C-PF,12.16,DNE,3.52,25,29,12.10%,DNE,DNE,6' 8.75'',6' 9.75'',9' 0.5'',249,7' 4'',2007
Antanas Kavaliauskas,PF,11.19,DNE,3.42,25.5,30,7.70%,DNE,DNE,6' 9'',6' 10.5'',8' 10.5'',237,6' 10.5'',2007
Anthony Tolliver,PF,11.49,DNE,3.29,28.5,30,5.70%,DNE,DNE,6' 7'',6' 8.5'',8' 11.5'',242,7' 2.5'',2007
Avis Wyatt,PF,11.46,DNE,3.23,27.5,32,3.30%,DNE,DNE,6' 8.75'',6' 9.5'',8' 11'',212,7' 1'',2007
Blake Schilb,SG,11.63,DNE,3.36,26.5,33.5,10.00%,DNE,DNE,6' 5'',6' 7'',8' 6.5'',214,6' 9'',2007
Bobby Brown,PG,11.27,DNE,3.25,32.5,41,6.60%,DNE,DNE,5' 11'',6' 1.75'',7' 11.5'',170,6' 4'',2007
Brad Newley,SG,11.77,DNE,3.29,29.5,31.5,8.00%,DNE,DNE,6' 5'',6' 6.5'',8' 6.5'',201,6' 8'',2007
Brandan Wright,PF,11.76,DNE,3.31,30.5,35.5,5.80%,DNE,DNE,6' 8.75'',6' 10'',9' 0.5'',200,7' 3.75'',2007
Brandon Heath,PG,11.39,DNE,3.28,32,36,9.00%,DNE,DNE,6' 2'',6' 3.75'',7' 10'',181,6' 7'',2007
Caleb Green,PF,11.72,DNE,3.46,28.5,36,10.90%,DNE,DNE,6' 6'',6' 8'',8' 7'',238,6' 11.75'',2007
Carl Landry,PF,11.35,DNE,3.29,31.5,36.5,7.50%,DNE,DNE,6' 7'',6' 8.5'',8' 6.5'',248,6' 11'',2007
Cartier Martin,SF,12.1,DNE,3.43,27,29.5,5.60%,DNE,DNE,6' 4'',6' 6.5'',8' 7.5'',218,6' 10'',2007
Chris Richard,PF,11.39,DNE,3.29,26.5,30.5,7.50%,DNE,DNE,6' 7'',6' 8.75'',9' 2.5'',252,7' 4.5'',2007
Coby Karl,SG-PG,11.57,DNE,3.41,32,34.5,5.40%,DNE,DNE,6' 3'',6' 4.75'',8' 3.5'',204,6' 11'',2007
Coleman Collins,PF,11.47,DNE,-,30,35,6.20%,DNE,DNE,6' 8'',6' 9.75'',8' 11'',236,7' 2'',2007
Corey Brewer,SF-SG,11.69,DNE,3.22,30.5,36.5,4.20%,DNE,DNE,6' 6'',6' 7.75'',8' 7'',185,6' 8.25'',2007
Craig Bradshaw,PF,11.88,DNE,3.54,26,28,12.10%,DNE,DNE,6' 8'',6' 9.75'',8' 10.5'',240,7' 1.5'',2007
Curtis Sumpter,SF,11.3,DNE,3.22,27.5,32.5,5.30%,DNE,DNE,6' 6'',6' 7.75'',8' 8'',227,6' 9.5'',2007
DJ Strawberry,SG,10.87,DNE,3.14,28.5,35,4.50%,DNE,DNE,6' 3.75'',6' 5'',8' 5'',199,6' 6.5'',2007
DaShaun Wood,PG,11.4,DNE,3.23,31.5,34.5,5.40%,DNE,DNE,5' 10.75'',5' 11.5'',7' 8'',167,6' 0.75'',2007
Daequan Cook,SG,11.12,DNE,3.22,30,34.5,7.00%,DNE,DNE,6' 3'',6' 5.75'',8' 5.5'',203,6' 8.25'',2007
Darryl Watkins,C,11.65,DNE,3.56,26.5,31,6.90%,DNE,DNE,6' 8.75'',6' 10.25'',9' 2'',241,7' 3'',2007
Demetris Nichols,SF,10.39,DNE,3.38,28.5,32.5,6.20%,DNE,DNE,6' 6'',6' 7.5'',8' 9'',211,7' 0.25'',2007
Dominic James,PG,10.94,DNE,3.11,33.5,38.5,4.80%,DNE,DNE,5' 10'',5' 11.75'',7' 9'',175,6' 2'',2007
Dominic McGuire,SF,10.95,DNE,3.25,28.5,34.5,4.70%,DNE,DNE,6' 7'',6' 8.25'',8' 8'',220,6' 10.5'',2007
Dustin Salisbery,SG,11.07,DNE,3.12,34,38,6.60%,DNE,DNE,6' 3'',6' 4.75'',8' 4.5'',208,6' 8'',2007
Ekene Ibekwe,PF,11,DNE,3.28,34.5,39,3.20%,DNE,DNE,6' 8'',6' 9'',8' 8'',208,7' 6'',2007
Greg Oden,C,11.67,DNE,3.27,32,34,7.80%,DNE,DNE,6' 11'',7' 0'',9' 4'',257,7' 4.25'',2007
Herbert Hill,C,12.31,DNE,3.39,30.5,34,5.60%,DNE,DNE,6' 7'',6' 9.75'',9' 0.5'',232,7' 2.25'',2007
Ivan Radenovic,PF,11.61,DNE,3.6,23,28,9.80%,DNE,DNE,6' 9'',6' 10.75'',8' 10'',226,6' 11.75'',2007
JR Reynolds,PG,11.69,DNE,3.24,27.5,34.5,8.20%,DNE,DNE,6' 0'',6' 2.75'',7' 11'',188,6' 3.25'',2007
Jamaal Tatum,PG,11.51,DNE,3.22,28.5,33,5.00%,DNE,DNE,5' 11.5'',6' 0.75'',7' 9.5'',168,6' 2.5'',2007
James Hughes,C,13.31,DNE,3.37,31,33,3.50%,DNE,DNE,6' 9'',6' 10.75'',9' 3'',209,7' 3'',2007
Jared Dudley,SF,11.32,DNE,3.45,28,32,7.10%,DNE,DNE,6' 5'',6' 7.25'',8' 6'',219,6' 7'',2007
Jared Jordan,PG,11.02,DNE,3.39,24.5,28.5,7.00%,DNE,DNE,6' 0'',6' 1.75'',7' 10'',183,6' 0'',2007
Jason Smith,PF,10.96,DNE,3.29,33.5,37.5,7.50%,DNE,DNE,6' 10.75'',6' 11.5'',8' 10'',233,6' 10.75'',2007
Javaris Crittenton,PG,11.6,DNE,3.32,32.5,38,4.50%,DNE,DNE,6' 3'',6' 4.75'',8' 2'',194,6' 5.5'',2007
Jeff Green,SF,12,DNE,3.34,33.5,38,3.70%,DNE,DNE,6' 7'',6' 9.5'',8' 7'',228,7' 1.25'',2007
Jeremy Hunt,SG,12.11,DNE,3.29,30.5,33,5.20%,DNE,DNE,6' 2'',6' 4.75'',8' 5.5'',198,6' 8.25'',2007
Jermareo Davidson,PF,12.63,DNE,3.53,27,30,6.90%,DNE,DNE,6' 9'',6' 11'',9' 1.5'',230,7' 4'',2007
Jianlian Yi,,-,DNE,-,-,-,-%,DNE,DNE,,,,-,,2007
Joakim Noah,PF,11.79,DNE,3.47,32.5,37.5,4.80%,DNE,DNE,6' 10'',7' 0'',8' 10.5'',223,7' 1.25'',2007
Josh McRoberts,PF,11.7,DNE,3.47,27.5,31.5,13.70%,DNE,DNE,6' 8'',6' 10'',8' 10.5'',240,7' 1'',2007
Julian Wright,SF-PF,11.48,DNE,3.36,28.5,33.5,6.10%,DNE,DNE,6' 6.5'',6' 8.5'',9' 0'',211,7' 2.25'',2007
Justin Doellman,PF,-,DNE,-,-,-,7.00%,DNE,DNE,6' 8'',6' 9.5'',8' 9'',205,6' 8.75'',2007
Kevin Durant,SF-PF,12.33,DNE,3.45,26,33.5,6.60%,DNE,DNE,6' 9'',6' 10.25'',9' 2'',215,7' 4.75'',2007
Kyle Visser,C,12.6,DNE,3.39,26,29,10.20%,DNE,DNE,6' 10'',6' 11.5'',9' 0'',242,6' 11'',2007
Major Wingate,C,12.14,DNE,3.47,27.5,30.5,6.70%,DNE,DNE,6' 8.5'',6' 10.75'',9' 1'',242,7' 4'',2007
Mario Boggan,PF,12.18,DNE,3.45,24,26.5,9.20%,DNE,DNE,6' 5'',6' 7'',8' 11'',240,7' 2'',2007
Marko Lekic,C,11.96,DNE,3.43,24,30.5,11.40%,DNE,DNE,6' 9'',6' 10.5'',9' 0.5'',267,7' 1'',2007
Mike Conley,PG,11.63,DNE,3.09,35.5,40.5,4.20%,DNE,DNE,5' 11'',6' 0.75'',7' 10.5'',175,6' 5.75'',2007
